"","Temperature Anomaly","Season","Flow Difference","Temperature Difference","Hatchery, day","Hatchery, night","AICc","deltaAICc"
"30",NA,0.03,0.06,-0.14,0.24,0.15,3930.43,0
"31",0,0.04,0.06,-0.14,0.24,0.15,3932.39,1.96
"28",0.02,0.04,NA,-0.14,0.25,0.15,3945.37,14.94
"24",NA,0.04,NA,-0.13,0.25,0.15,3946.61,16.18
"29",-0.02,NA,0.08,-0.13,0.24,0.15,3950.54,20.11
"25",NA,NA,0.08,-0.14,0.24,0.15,3950.98,20.55
"15",NA,NA,NA,-0.14,0.25,0.16,3975.7,45.27
"21",0,NA,NA,-0.14,0.25,0.16,3977.77,47.34
"27",-0.02,0.03,0.07,NA,0.25,0.15,3995.13,64.7
"23",NA,0.04,0.06,NA,0.26,0.15,3997.74,67.31
"20",-0.04,NA,0.09,NA,0.25,0.16,4006.46,76.03
"12",NA,0.04,NA,NA,0.26,0.15,4010.54,80.11
"18",-0.01,0.04,NA,NA,0.26,0.15,4012.16,81.73
"14",NA,NA,0.07,NA,0.26,0.16,4020.87,90.44
"9",-0.03,NA,NA,NA,0.27,0.16,4037.59,107.16
"5",NA,NA,NA,NA,0.27,0.16,4042.47,112.04
"22",NA,0.04,0.07,-0.15,NA,NA,4063.99,133.56
"26",0,0.04,0.07,-0.16,NA,NA,4065.91,135.48
"17",0.02,0.05,NA,-0.16,NA,NA,4083.75,153.32
"11",NA,0.05,NA,-0.15,NA,NA,4086.18,155.75
"19",-0.02,NA,0.1,-0.15,NA,NA,4087.47,157.04
"13",NA,NA,0.09,-0.16,NA,NA,4088.27,157.84
"4",NA,NA,NA,-0.16,NA,NA,4120.39,189.96
"8",0,NA,NA,-0.16,NA,NA,4122.47,192.04
"16",-0.03,0.03,0.08,NA,NA,NA,4138.66,208.23
"10",NA,0.04,0.07,NA,NA,NA,4142.12,211.69
"7",-0.05,NA,0.11,NA,NA,NA,4152.32,221.89
"2",NA,0.05,NA,NA,NA,NA,4159.95,229.52
"6",-0.01,0.05,NA,NA,NA,NA,4161.67,231.24
"3",NA,NA,0.09,NA,NA,NA,4169.61,239.18
"1",-0.03,NA,NA,NA,NA,NA,4192.49,262.06
