"","season","temperature_difference","flow","flow_difference","lunar_phase","hatchery_day","hatchery_night","AICc","deltaAICc"
"59",0.02,NA,-0.02,0.28,0.01,0.03,0.03,5256.94,0
"50",0.02,NA,-0.02,0.28,NA,0.03,0.03,5256.95,0.01
"61",0.02,0.01,-0.02,0.28,NA,0.03,0.03,5258.56,1.62
"63",0.02,0.01,-0.02,0.28,0.01,0.03,0.03,5258.58,1.65
"31",NA,NA,-0.01,0.28,NA,0.02,0.03,5261.42,4.49
"47",NA,NA,-0.01,0.28,0.01,0.02,0.03,5261.81,4.88
"40",0.01,NA,NA,0.27,NA,0.02,0.02,5261.95,5.02
"21",NA,NA,NA,0.28,NA,0.02,0.02,5262.5,5.56
"54",0.01,NA,NA,0.27,0.01,0.02,0.02,5262.55,5.61
"37",NA,NA,NA,0.28,0.01,0.02,0.02,5263.19,6.25
"51",NA,0.01,-0.01,0.28,NA,0.02,0.03,5263.23,6.3
"56",0.01,0.01,NA,0.27,NA,0.02,0.02,5263.24,6.3
"60",NA,0.01,-0.01,0.28,0.01,0.02,0.03,5263.66,6.72
"62",0.01,0.01,NA,0.27,0.01,0.02,0.02,5263.86,6.93
"41",NA,0.01,NA,0.28,NA,0.02,0.02,5264.07,7.13
"55",NA,0.01,NA,0.28,0.01,0.02,0.02,5264.79,7.86
"5",NA,NA,NA,0.28,NA,NA,NA,5268.77,11.83
"17",0.01,NA,NA,0.28,NA,NA,NA,5268.86,11.92
"14",NA,NA,NA,0.28,0.01,NA,NA,5269.58,12.65
"33",0.01,NA,NA,0.28,0.01,NA,NA,5269.61,12.67
"27",0.01,NA,-0.01,0.28,NA,NA,NA,5269.61,12.68
"43",0.01,NA,-0.01,0.28,0.01,NA,NA,5270.17,13.24
"38",0.01,0.01,NA,0.28,NA,NA,NA,5270.29,13.35
"19",NA,0.01,NA,0.28,NA,NA,NA,5270.42,13.49
"10",NA,NA,0,0.28,NA,NA,NA,5270.52,13.58
"52",0.01,0.01,NA,0.27,0.01,NA,NA,5271.06,14.13
"48",0.01,0.01,-0.01,0.28,NA,NA,NA,5271.2,14.27
"24",NA,NA,0,0.28,0.01,NA,NA,5271.26,14.32
"35",NA,0.01,NA,0.28,0.01,NA,NA,5271.26,14.33
"57",0.01,0.01,-0.01,0.28,0.01,NA,NA,5271.79,14.86
"29",NA,0.01,0,0.28,NA,NA,NA,5272.26,15.32
"45",NA,0.01,0,0.28,0.01,NA,NA,5273.03,16.09
"44",0.03,NA,-0.01,NA,0.01,0.02,0.02,5563.18,306.24
"34",0.02,NA,NA,NA,0.01,0.02,0.02,5563.68,306.74
"58",0.03,0.02,-0.01,NA,0.01,0.02,0.02,5564.08,307.14
"53",0.02,0.02,NA,NA,0.01,0.01,0.02,5564.14,307.2
"18",0.02,NA,NA,NA,NA,0.02,0.02,5565.92,308.98
"28",0.03,NA,-0.01,NA,NA,0.02,0.02,5565.98,309.05
"39",0.02,0.02,NA,NA,NA,0.02,0.02,5566.62,309.68
"49",0.03,0.02,-0.01,NA,NA,0.02,0.02,5567.03,310.1
"12",0.02,NA,NA,NA,0.01,NA,NA,5569.2,312.26
"32",0.02,0.03,NA,NA,0.01,NA,NA,5569.22,312.28
"42",0.02,0.03,0,NA,0.01,NA,NA,5571.28,314.35
"22",0.02,NA,0,NA,0.01,NA,NA,5571.28,314.35
"3",0.02,NA,NA,NA,NA,NA,NA,5571.35,314.41
"16",0.02,0.03,NA,NA,NA,NA,NA,5571.68,314.75
"8",0.02,NA,0,NA,NA,NA,NA,5573.43,316.49
"26",0.02,0.03,0,NA,NA,NA,NA,5573.7,316.77
"15",NA,NA,NA,NA,0.01,0.02,0.02,5578.35,321.42
"6",NA,NA,NA,NA,NA,0.02,0.02,5579.74,322.81
"36",NA,0,NA,NA,0.01,0.02,0.02,5580.43,323.49
"25",NA,NA,0,NA,0.01,0.02,0.02,5580.44,323.5
"11",NA,NA,0,NA,NA,0.02,0.02,5581.8,324.86
"20",NA,0,NA,NA,NA,0.02,0.02,5581.82,324.88
"46",NA,0,0,NA,0.01,0.02,0.02,5582.51,325.58
"2",NA,NA,NA,NA,0.01,NA,NA,5583.31,326.37
"30",NA,0,0,NA,NA,0.02,0.02,5583.87,326.94
"7",NA,NA,0.01,NA,0.01,NA,NA,5583.99,327.05
"1",NA,NA,0.01,NA,NA,NA,NA,5585.1,328.16
"13",NA,0,NA,NA,0.01,NA,NA,5585.36,328.43
"23",NA,0.01,0.01,NA,0.01,NA,NA,5585.94,329
"4",NA,0,NA,NA,NA,NA,NA,5586.75,329.82
"9",NA,0.01,0.01,NA,NA,NA,NA,5587.04,330.11
