"","season","temperature_difference","flow_anomaly","flow_difference","temp_anomaly","hatchery_day","hatchery_night","AICc","deltaAICc"
"58",0.01,NA,-0.03,0.24,0.04,0.2,0.28,4905.16,0
"63",0.01,-0.02,-0.03,0.24,0.04,0.2,0.28,4906.02,0.86
"46",NA,NA,-0.03,0.24,0.04,0.2,0.28,4910.29,5.13
"60",NA,-0.02,-0.03,0.24,0.04,0.2,0.29,4910.63,5.47
"36",NA,NA,NA,0.22,0.03,0.2,0.28,4930.09,24.93
"53",0.01,NA,NA,0.21,0.03,0.2,0.28,4930.66,25.5
"55",NA,-0.01,NA,0.22,0.03,0.2,0.28,4931.46,26.3
"62",0.01,-0.01,NA,0.21,0.03,0.2,0.28,4932.24,27.08
"49",0.01,NA,-0.02,0.25,NA,0.21,0.29,4935.79,30.64
"30",NA,NA,-0.02,0.25,NA,0.21,0.29,4936.98,31.83
"61",0.01,0.01,-0.02,0.25,NA,0.21,0.29,4937.69,32.53
"51",NA,0,-0.02,0.25,NA,0.21,0.29,4939.01,33.86
"20",NA,NA,NA,0.23,NA,0.21,0.29,4950.66,45.51
"39",0,NA,NA,0.23,NA,0.21,0.29,4952.31,47.15
"41",NA,0.01,NA,0.23,NA,0.21,0.29,4952.54,47.38
"56",0,0.01,NA,0.23,NA,0.21,0.29,4954.1,48.94
"34",0.02,NA,NA,NA,0.05,0.25,0.3,5147.31,242.16
"54",0.02,-0.01,NA,NA,0.05,0.25,0.3,5149.03,243.87
"44",0.02,NA,0,NA,0.05,0.25,0.3,5149.06,243.91
"59",0.02,-0.01,0,NA,0.05,0.25,0.3,5150.66,245.5
"37",NA,-0.02,NA,NA,0.05,0.26,0.3,5161.04,255.88
"15",NA,NA,NA,NA,0.05,0.26,0.3,5161.14,255.98
"25",NA,NA,0,NA,0.04,0.26,0.3,5163.01,257.85
"47",NA,-0.02,0,NA,0.05,0.25,0.3,5163.08,257.92
"18",0.01,NA,NA,NA,NA,0.26,0.31,5195.32,290.17
"40",0.01,0.02,NA,NA,NA,0.26,0.31,5196.04,290.88
"28",0.01,NA,0,NA,NA,0.26,0.31,5196.66,291.5
"50",0.01,0.02,0,NA,NA,0.26,0.31,5197.16,292.01
"11",NA,NA,0.01,NA,NA,0.26,0.31,5202.99,297.84
"6",NA,NA,NA,NA,NA,0.27,0.31,5203.52,298.37
"31",NA,0.01,0.01,NA,NA,0.26,0.31,5204.77,299.62
"21",NA,0.01,NA,NA,NA,0.27,0.31,5205.47,300.31
"42",0.02,NA,-0.03,0.28,0.05,NA,NA,5212.83,307.67
"57",0.02,-0.02,-0.03,0.28,0.06,NA,NA,5213.45,308.29
"23",NA,NA,-0.03,0.29,0.05,NA,NA,5220.69,315.54
"45",NA,-0.02,-0.03,0.29,0.05,NA,NA,5220.74,315.59
"32",0.01,NA,NA,0.26,0.05,NA,NA,5237.4,332.24
"13",NA,NA,NA,0.26,0.04,NA,NA,5238.52,333.36
"52",0.01,-0.01,NA,0.26,0.05,NA,NA,5238.89,333.73
"35",NA,-0.02,NA,0.26,0.05,NA,NA,5239.72,334.56
"26",0.01,NA,-0.03,0.3,NA,NA,NA,5255.03,349.88
"48",0.01,0.01,-0.03,0.3,NA,NA,NA,5256.7,351.54
"9",NA,NA,-0.02,0.3,NA,NA,NA,5257.78,352.62
"29",NA,0.01,-0.02,0.3,NA,NA,NA,5259.67,354.51
"4",NA,NA,NA,0.28,NA,NA,NA,5268.77,363.61
"16",0.01,NA,NA,0.28,NA,NA,NA,5269.48,364.32
"19",NA,0.01,NA,0.28,NA,NA,NA,5270.42,365.27
"38",0.01,0.01,NA,0.28,NA,NA,NA,5270.94,365.79
"12",0.02,NA,NA,NA,0.06,NA,NA,5502.77,597.61
"33",0.02,-0.02,NA,NA,0.07,NA,NA,5503.97,598.82
"22",0.02,NA,0,NA,0.06,NA,NA,5504.84,599.68
"43",0.02,-0.02,0,NA,0.07,NA,NA,5505.98,600.83
"14",NA,-0.04,NA,NA,0.07,NA,NA,5520.56,615.4
"24",NA,-0.04,0,NA,0.07,NA,NA,5522.23,617.08
"2",NA,NA,NA,NA,0.06,NA,NA,5522.79,617.63
"7",NA,NA,0.01,NA,0.06,NA,NA,5523.82,618.67
"27",0.02,0.06,0.01,NA,NA,NA,NA,5535.09,629.93
"8",0.02,NA,0.01,NA,NA,NA,NA,5571.34,666.19
"3",0.02,NA,NA,NA,NA,NA,NA,5572.03,666.87
"17",0.02,0.02,NA,NA,NA,NA,NA,5572.41,667.25
"1",NA,NA,0.02,NA,NA,NA,NA,5580.9,675.74
"10",NA,0.01,0.02,NA,NA,NA,NA,5582.74,677.58
"5",NA,0,NA,NA,NA,NA,NA,5586.75,681.6
