"","season","temperature_difference","flow_anomaly","temp_anomaly","flow_difference","hatchery_day","hatchery_night","deltaAICc"
"58",0.03,NA,-0.02,0.02,0.23,0.21,0.13,0
"63",0.03,-0.01,-0.02,0.02,0.23,0.21,0.13,1.92
"49",0.03,NA,-0.02,NA,0.24,0.21,0.13,3.86
"61",0.03,0.01,-0.02,NA,0.24,0.21,0.13,5.77
"53",0.03,NA,NA,0.02,0.21,0.21,0.13,12.1
"62",0.03,0,NA,0.02,0.21,0.21,0.13,14.1
"39",0.03,NA,NA,NA,0.22,0.21,0.14,15.5
"56",0.03,0.01,NA,NA,0.22,0.21,0.14,17.34
"46",NA,NA,-0.03,0.01,0.24,0.21,0.14,37
"30",NA,NA,-0.03,NA,0.25,0.21,0.14,38.61
"60",NA,0,-0.03,0.01,0.24,0.21,0.14,39.09
"51",NA,0.01,-0.03,NA,0.25,0.21,0.14,40.32
"36",NA,NA,NA,0.01,0.22,0.22,0.14,58.48
"20",NA,NA,NA,NA,0.23,0.22,0.15,59.35
"55",NA,0,NA,0.01,0.22,0.22,0.14,60.54
"41",NA,0.01,NA,NA,0.23,0.22,0.15,60.87
"42",0.03,NA,-0.02,0.02,0.26,NA,NA,120.6
"57",0.03,-0.01,-0.02,0.02,0.26,NA,NA,122.51
"26",0.03,NA,-0.02,NA,0.27,NA,NA,126.88
"48",0.03,0.01,-0.02,NA,0.28,NA,NA,128.66
"32",0.03,NA,NA,0.02,0.24,NA,NA,137.75
"52",0.03,0,NA,0.02,0.24,NA,NA,139.73
"16",0.03,NA,NA,NA,0.25,NA,NA,143.38
"38",0.03,0.01,NA,NA,0.25,NA,NA,145.07
"23",NA,NA,-0.03,0.02,0.28,NA,NA,162.21
"45",NA,0,-0.03,0.02,0.28,NA,NA,164.29
"9",NA,NA,-0.03,NA,0.29,NA,NA,165.68
"29",NA,0.01,-0.03,NA,0.29,NA,NA,167.11
"13",NA,NA,NA,0.02,0.25,NA,NA,190.41
"35",NA,0,NA,0.02,0.25,NA,NA,192.43
"4",NA,NA,NA,NA,0.26,NA,NA,192.84
"19",NA,0.01,NA,NA,0.26,NA,NA,194
"54",0.03,-0.06,NA,0.05,NA,0.28,0.14,197.36
"59",0.04,-0.06,0,0.05,NA,0.28,0.14,199.06
"34",0.03,NA,NA,0.04,NA,0.28,0.14,210.83
"44",0.03,NA,0.01,0.04,NA,0.28,0.14,211.67
"40",0.03,-0.04,NA,NA,NA,0.29,0.15,233.15
"50",0.03,-0.03,0.01,NA,NA,0.29,0.15,233.71
"28",0.03,NA,0.01,NA,NA,0.29,0.15,236.77
"18",0.03,NA,NA,NA,NA,0.29,0.15,236.94
"37",NA,-0.06,NA,0.05,NA,0.28,0.15,241.25
"47",NA,-0.06,0,0.05,NA,0.28,0.15,242.95
"15",NA,NA,NA,0.04,NA,0.28,0.15,253.58
"25",NA,NA,0,0.04,NA,0.28,0.15,255.65
"21",NA,-0.04,NA,NA,NA,0.29,0.16,268.86
"31",NA,-0.04,0,NA,NA,0.29,0.16,270.94
"6",NA,NA,NA,NA,NA,0.29,0.16,272.65
"11",NA,NA,0,NA,NA,0.29,0.16,274.63
"33",0.04,-0.07,NA,0.06,NA,NA,NA,366.9
"43",0.04,-0.07,0,0.06,NA,NA,NA,368.68
"12",0.04,NA,NA,0.05,NA,NA,NA,383.27
"22",0.04,NA,0.01,0.05,NA,NA,NA,384.19
"17",0.04,-0.04,NA,NA,NA,NA,NA,414.29
"27",0.04,-0.04,0.01,NA,NA,NA,NA,414.85
"8",0.04,NA,0.01,NA,NA,NA,NA,418.45
"3",0.04,NA,NA,NA,NA,NA,NA,418.64
"14",NA,-0.07,NA,0.06,NA,NA,NA,419.29
"24",NA,-0.07,-0.01,0.06,NA,NA,NA,420.78
"2",NA,NA,NA,0.05,NA,NA,NA,434.82
"7",NA,NA,0,0.05,NA,NA,NA,436.86
"5",NA,-0.04,NA,NA,NA,NA,NA,456.78
"10",NA,-0.04,0,NA,NA,NA,NA,458.86
"1",NA,NA,0,NA,NA,NA,NA,463.38
