"","season","temperature_difference","flow_anomaly","flow_difference","temp_anomaly","hatchery","deltaAICc"
"18",0.05,NA,NA,NA,NA,0.29,0
"40",0.05,NA,NA,0.03,NA,0.29,0.37
"54",0.05,NA,NA,0.03,-0.01,0.28,1.55
"28",0.05,NA,0.01,NA,NA,0.29,1.71
"34",0.05,NA,NA,NA,-0.01,0.28,1.74
"39",0.05,0.01,NA,NA,NA,0.29,2.11
"50",0.05,NA,0,0.02,NA,0.29,2.43
"56",0.05,0,NA,0.03,NA,0.29,2.5
"62",0.05,0.01,NA,0.03,-0.02,0.29,3.45
"44",0.05,NA,0.01,NA,-0.01,0.28,3.54
"49",0.05,0.01,0.01,NA,NA,0.29,3.65
"59",0.05,NA,0,0.03,-0.01,0.28,3.7
"53",0.05,0.01,NA,NA,-0.01,0.29,3.72
"61",0.05,0.01,0.01,0.02,NA,0.29,4.48
"58",0.05,0.02,0.01,NA,-0.01,0.29,5.26
"63",0.05,0.01,0,0.03,-0.01,0.29,5.5
"20",NA,-0.03,NA,NA,NA,0.29,15.58
"6",NA,NA,NA,NA,NA,0.29,15.66
"41",NA,-0.03,NA,0.02,NA,0.29,16.57
"21",NA,NA,NA,0.02,NA,0.29,16.86
"36",NA,-0.03,NA,NA,0,0.29,17.73
"30",NA,-0.03,0,NA,NA,0.29,17.73
"11",NA,NA,0,NA,NA,0.29,17.75
"15",NA,NA,NA,NA,0,0.29,17.78
"51",NA,-0.04,-0.01,0.03,NA,0.29,18.52
"55",NA,-0.03,NA,0.02,0,0.29,18.73
"37",NA,NA,NA,0.02,-0.01,0.29,18.85
"31",NA,NA,0,0.02,NA,0.29,19.02
"46",NA,-0.03,0,NA,0,0.29,19.88
"25",NA,NA,0,NA,0,0.29,19.89
"60",NA,-0.04,-0.01,0.03,0,0.29,20.67
"47",NA,NA,0,0.02,-0.01,0.29,21.02
"3",0.05,NA,NA,NA,NA,NA,120.78
"33",0.06,NA,NA,0.03,-0.02,NA,121.19
"12",0.05,NA,NA,NA,-0.02,NA,121.21
"16",0.05,-0.03,NA,NA,NA,NA,121.32
"17",0.05,NA,NA,0.02,NA,NA,121.8
"38",0.05,-0.03,NA,0.02,NA,NA,122.36
"8",0.05,NA,0.01,NA,NA,NA,122.55
"32",0.05,-0.02,NA,NA,-0.01,NA,122.57
"52",0.05,-0.02,NA,0.03,-0.02,NA,122.83
"22",0.05,NA,0.01,NA,-0.02,NA,123.14
"43",0.06,NA,0,0.03,-0.02,NA,123.36
"26",0.05,-0.03,0,NA,NA,NA,123.44
"27",0.05,NA,0,0.02,NA,NA,123.83
"48",0.05,-0.03,0,0.02,NA,NA,124.52
"42",0.05,-0.02,0,NA,-0.01,NA,124.7
"57",0.05,-0.02,0,0.03,-0.02,NA,124.97
"4",NA,-0.07,NA,NA,NA,NA,132.63
"19",NA,-0.07,NA,0.02,NA,NA,134.28
"9",NA,-0.07,-0.01,NA,NA,NA,134.35
"13",NA,-0.07,NA,NA,0,NA,134.78
"29",NA,-0.08,-0.01,0.02,NA,NA,135.61
"35",NA,-0.07,NA,0.02,0,NA,136.44
"23",NA,-0.07,-0.01,NA,0,NA,136.51
"45",NA,-0.08,-0.01,0.02,0,NA,137.72
"2",NA,NA,NA,NA,-0.01,NA,142.38
"5",NA,NA,NA,0.01,NA,NA,142.51
"1",NA,NA,0,NA,NA,NA,142.73
"14",NA,NA,NA,0.01,-0.01,NA,144.13
"7",NA,NA,0,NA,-0.01,NA,144.53
"10",NA,NA,0,0.01,NA,NA,144.67
"24",NA,NA,0,0.02,-0.01,NA,146.28
